source,target,type
5,0,DIRECTED
6,0,DIRECTED
5,9,DIRECTED
6,9,DIRECTED
5,10,DIRECTED
6,10,DIRECTED
14,11,DIRECTED
27,15,DIRECTED
35,29,DIRECTED
45,37,DIRECTED
27,46,DIRECTED
55,52,DIRECTED
61,56,DIRECTED
66,62,DIRECTED
72,67,DIRECTED
72,73,DIRECTED
79,78,DIRECTED
27,81,DIRECTED
68,85,DIRECTED
91,87,DIRECTED
59,92,DIRECTED
96,95,DIRECTED
99,97,DIRECTED
104,100,DIRECTED
108,105,DIRECTED
5,105,DIRECTED
6,105,DIRECTED
115,111,DIRECTED
25,116,DIRECTED
5,121,DIRECTED
6,121,DIRECTED
25,128,DIRECTED
136,130,DIRECTED
115,137,DIRECTED
142,141,DIRECTED
115,144,DIRECTED
149,147,DIRECTED
151,150,DIRECTED
153,152,DIRECTED
156,154,DIRECTED
158,157,DIRECTED
96,159,DIRECTED
151,161,DIRECTED
166,162,DIRECTED
